id	file_name	md5	size	state
f700b996-2ccf-4f59-9249-da7f087054ba	8885b4e5-f8e7-4198-b7ce-bc5c754f504d.rna_seq.augmented_star_gene_counts.tsv	da8693731d4ddbd18542f3fe834f75a9	4248467	released
883bbed6-0216-48c2-9694-5dba83ce65c7	af407c3f-2dad-4fb9-850e-4a79b361589b.rna_seq.augmented_star_gene_counts.tsv	d19a4ab3b293c1bedf7ad79fd796dad1	4233751	released
29dd3ad7-f2c6-4abf-8e81-6734e4bd8a6a	aa85d7ef-5884-4eb4-a78b-3023d2e01a8b.rna_seq.augmented_star_gene_counts.tsv	7164d3905ae90792fe49404e3f7825d5	4221503	released
54a00dd0-503f-471f-88e4-8d6fcdcf8483	1b22e14e-321b-4609-9aa2-9df6285ca948.rna_seq.augmented_star_gene_counts.tsv	091f28766e1936f96945d867cdc1f4b9	4213927	released
665a7af8-9c2d-4a31-9a22-da89fc7107b2	6f53a60f-3be2-48df-a15a-4675e99efba1.rna_seq.augmented_star_gene_counts.tsv	a66b49a6d71bc1607d8a2cac2552bf9e	4220068	released
bb64143e-c48a-45c7-914b-4ec5bcea9e27	de6f3bfe-6e91-4894-a826-67ebf147a6f0.rna_seq.augmented_star_gene_counts.tsv	e31926497b25c82988750ae27ed5ac4b	4227951	released
ad8bf3fe-2831-4c1c-81f9-c65e09b2d45e	34d64c67-b35b-418e-a7b2-759804876762.rna_seq.augmented_star_gene_counts.tsv	6367a7f9e1c6082c9ed940caa1751941	4213808	released
68b00cb6-4335-4c64-a3e0-0c29ed574480	5418228b-cfd0-4580-87c6-3ebf6282ad73.rna_seq.augmented_star_gene_counts.tsv	fbabeebae2266a15dd0d21fc71796c93	4211769	released
a4b8b2f2-6a56-4999-bd95-c2c8e4aa3bd0	5c5dec6e-b6ee-44af-a42e-485bdf54bde4.rna_seq.augmented_star_gene_counts.tsv	0b69a90b362e7d9bdf2019a5b0ee9f09	4224243	released
f73807f5-edf8-4a4d-8550-048d9c5413e5	1890feb6-9f7f-4437-9828-198ff43e16b0.rna_seq.augmented_star_gene_counts.tsv	4f063c01a122b4e335a57a03f8a93c05	4247285	released
5d65e761-0cb3-4e52-b14f-79be5850dba4	8f55fdd2-25cb-40dc-809e-2ddbdadd34c3.rna_seq.augmented_star_gene_counts.tsv	47308b789132644ae650f8677cc4642f	4251316	released
a03c9de0-7526-4942-8a7a-5fe03ea191f6	3ce23908-d2b9-42b0-a409-5fbd767496c2.rna_seq.augmented_star_gene_counts.tsv	733ac10a0be01831a6086753e86afd82	4225761	released
0d1f21df-73b3-4dd0-9ad4-fd5c7a5d2424	bcc5593d-3d16-4d6f-a1b9-854423ede69e.rna_seq.augmented_star_gene_counts.tsv	58c0c093e2489d1598139c59221e27f5	4228987	released
e4988cad-67b9-41a6-9640-2226d6b7424a	050f4ef1-e774-490e-9450-8f2d473b1a21.rna_seq.augmented_star_gene_counts.tsv	b6e0902a4c99006a089fa19ce6588fa2	4214340	released
4320b770-69f3-4dd2-afea-8b7f7cdf44c2	32e5ef2b-4387-4d2c-8e62-d18b5106414f.rna_seq.augmented_star_gene_counts.tsv	ea55d80feb430b5fd58948234d7927f4	4227980	released
e1a4e922-876b-45d1-8fb6-5d39dbf6ff60	3dbeacde-e4f1-443a-b34e-28c44acce88c.rna_seq.augmented_star_gene_counts.tsv	e069caf93d5dde80a1a6c3419e4c93fa	4221708	released
e7ae9253-4c2d-41bd-9d3a-c37e9841f479	186b7ed8-cc25-45b6-bf7d-25d7a3a2154a.rna_seq.augmented_star_gene_counts.tsv	1a88bab62fc5a34f5481e2ae15839071	4233633	released
aab3583f-37ca-4f2f-8428-aa8eda2c2274	a7517dae-ab9e-42eb-a512-eb0ca6f89166.rna_seq.augmented_star_gene_counts.tsv	3c277dd201b74e1c55ad8711cd1fa2e5	4224070	released
a777fb14-4498-4f32-bccb-1e8521567302	96780e00-b519-4bec-a49b-c2cc2d19a744.rna_seq.augmented_star_gene_counts.tsv	6d7026d174217106f4ba9a89afc59647	4216161	released
69933ac8-e7a7-43b6-8231-2ecb35f88d52	c9d8385a-9f73-48f9-bca4-1c0647881bfd.rna_seq.augmented_star_gene_counts.tsv	8eafe6fede10733417326ed7b3e61f12	4235050	released
94613d97-0a68-4212-beef-3c97a0b363ef	b7837fd0-426f-49dd-9de0-4e648b78f896.rna_seq.augmented_star_gene_counts.tsv	5bb5322992c2424e54f32ed5fc5e67d9	4220201	released
5b99d571-43d2-4d26-9a3b-0a299a0ce048	60cc41cd-a0af-4cad-a4be-253781e2f0b8.rna_seq.augmented_star_gene_counts.tsv	8b62fcc48ef1b4143da81fe3b74cf6dd	4222207	released
ca8dc4e0-e8d2-4574-b3a0-74b058bd2b96	d3c4d6a0-ae8f-416d-93b5-2f7143f0f857.rna_seq.augmented_star_gene_counts.tsv	cc18e937da5c9ba2970c76897b9a8c2e	4215686	released
e39f6bf6-2206-45f2-a1c0-81fc1d858fd2	1bd869a0-98a7-4e19-994f-41a1ce2c7b2d.rna_seq.augmented_star_gene_counts.tsv	1a3f179d5b9f791c9f28d66b64c87a1c	4235070	released
93db566e-8ff9-45b0-afa2-0fbe82b8f580	ab589a7b-7cc9-4257-8fd7-241d2e3658da.rna_seq.augmented_star_gene_counts.tsv	32b6fcb0736a85a6570c344798975243	4232282	released
e8da0b02-8b75-4a85-b91a-6f8d1582a95c	af649713-fb41-496a-a94b-3691d202c1c8.rna_seq.augmented_star_gene_counts.tsv	8c8ac3b98a35074a79bf21232c5d57b4	4218734	released
56e9a740-ee72-4c10-a90d-921034141b42	2b4652fb-eef5-427e-b4f0-24164c042e52.rna_seq.augmented_star_gene_counts.tsv	db58b268328ffb3241c5c6926bf64b96	4243623	released
d3d249ab-0483-4e9c-99f3-07afb5b6dabc	73babed8-f934-42c7-9020-30f7c3e1766d.rna_seq.augmented_star_gene_counts.tsv	4239402935c3e36a01b087de299eccb3	4229288	released
2ff24c33-39c6-4171-af42-f54e4ee8b021	2f93d52a-e8ab-454b-ae76-74b35cd561da.rna_seq.augmented_star_gene_counts.tsv	202684ca4587493c7e347a944af3346e	4224352	released
661b6fed-d56a-452b-adaa-4b48ee9f4dbb	bc46dd0e-3136-4d9b-8fc3-dee56d6e39cf.rna_seq.augmented_star_gene_counts.tsv	2ea130a0ae67c870c7772cf2a3ea3214	4242369	released
242a2880-95da-453f-892d-fafd49a4865e	9301f86d-9d6f-4aa6-a640-a543b5aea5db.rna_seq.augmented_star_gene_counts.tsv	db04ade49f3788d672b6dee1d122c3e7	4261912	released
2fe6f165-3396-4abd-a0cd-07968d826828	b3c9ca27-6b77-4abd-92d5-45d48d34ba42.rna_seq.augmented_star_gene_counts.tsv	354c20fba28229053fb91d12d6552094	4228926	released
afdf58d1-5814-4e78-a92e-26fbcc97da32	0a5dab01-33ff-41d1-8842-7b7f18a6efe0.rna_seq.augmented_star_gene_counts.tsv	96f4226c5a485e5eee3a6156d4b4ba05	4219971	released
32046abb-8476-4e4f-8090-1ce003107490	905e32cb-a5bd-46a4-ac0f-32585e042695.rna_seq.augmented_star_gene_counts.tsv	43f5599ac6d7d205ec1dab3485e9319b	4243351	released
9f01664c-19be-4841-afb4-297483d22ec8	e3955555-9663-49da-bb98-f6593eb74d7f.rna_seq.augmented_star_gene_counts.tsv	7184dc00dcd6180814d97f3c61b75ed5	4223044	released
385d903b-bab4-4c2e-8334-3a304d1a56fa	f05d253b-7b64-4ecc-8249-55392326a91d.rna_seq.augmented_star_gene_counts.tsv	fc24531e9defdd925283193b80380612	4217558	released
8dbb93bd-bf45-4148-acdb-6609d5c4a1e3	ce9e3b71-b907-4c30-bbc9-fd929a6df15b.rna_seq.augmented_star_gene_counts.tsv	208c0166671cd6078ea6dccc6734c570	4217876	released
